"","Wins","Resiliency","Mean.FP","StDev.FP"
"1",15.3333333333333,7.76175516145221,26.8027837733625,8.67923853499369
"2",15,7.76175516145221,27.3640913977518,11.0713798837522
"3",14,9.33557563063251,26.2847376346195,8.8414170315061
"4",13.6666666666667,9.33557563063251,26.7863368156313,9.17135719320436
"5",13.6666666666667,8.09080692296481,27.1108579074554,9.36715946988175
"6",13.6666666666667,7.76175516145221,27.3846184086962,10.6141711270698
"7",13.3333333333333,2.7987441996893,26.6841489564833,10.8371463940661
"8",12.6666666666667,9.33557563063251,28.0496459817845,12.0118461712594
"9",12.3333333333333,6.42736594631983,26.7346222124269,9.45585905542774
"10",12,8.09080692296481,28.5920449120873,9.87251607749126
"11",12,7.70766959064974,27.9820529926102,10.3829412847521
"12",12,2.7987441996893,27.254324624034,10.3735386762384
"13",12,8.09080692296481,28.1261103280597,8.13599829401755
"14",11.6666666666667,4.49679198178169,25.8644599465801,10.3041216380227
"15",11.6666666666667,4.49679198178169,26.73342715734,8.97670358159007
"16",11.3333333333333,7.70766959064974,27.578374771383,10.8520858213986
"17",11.3333333333333,3.37181833641941,26.947044405822,9.78980651194603
"18",11.3333333333333,7.70766959064974,27.2720341215464,13.170503003109
"19",11,6.42736594631983,27.7756431187893,10.3161735227452
"20",10.6666666666667,4.49679198178169,28.9461964521422,9.70208802699737
"21",9.66666666666667,6.69262234980789,27.0352270262339,9.24089872971574
"22",9.66666666666667,6.42736594631983,27.6711719101581,10.541372356724
"23",9.66666666666667,3.37181833641941,27.8828525144651,10.975926244116
"24",9.66666666666667,6.69262234980789,27.5453823898378,10.3975256430467
"25",9.33333333333333,3.37181833641941,27.8512741738018,11.288349796181
"26",9,1.0823880773395,27.1320012255631,10.4572815715555
"27",8.33333333333333,0.209933236224151,27.5290132196629,11.5901222737519
"28",8.33333333333333,0.209933236224151,27.1768088458462,9.41342520601166
"29",8.33333333333333,2.7987441996893,27.290808565453,10.8801137145596
"30",8,0.209933236224151,26.5312708265412,8.4031983909329
"31",8,1.0823880773395,26.8851549110898,10.4555312891093
"32",6.66666666666667,1.0823880773395,28.0068669929784,12.0106669908076
"33",6.33333333333333,5.80341401763142,27.7370579164292,10.6109270051529
"34",6,5.80341401763142,26.5651350757277,11.6782025306016
"35",5.66666666666667,6.69262234980789,25.9258057962119,8.96448141543652
"36",4.66666666666667,5.80341401763142,26.8744300225964,8.41157144040354
